source,line,function,ncalls,tottime,cumtime,run,backend
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0026553,20212.3035874,1,Fran
solution_clean_qiskit.py,1,<module>,1,0.0001821,8014.031477500001,2,Fran
solution_clean_qiskit.py,98,train,1,0.0109329,8010.287745600001,2,Fran
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0016109,7909.1779722,2,Fran
solution_clean_qiskit.py,1,<module>,1,9.49e-05,4890.203861700001,3,Fran
solution_clean_qiskit.py,98,train,1,0.0087478,4881.6723805,3,Fran
solution_clean_qiskit.py,1,<module>,1,0.0001034,4862.4756843000005,5,Fran
solution_clean_qiskit.py,98,train,1,0.0088005,4859.9326859,5,Fran
solution_clean_qiskit.py,1,<module>,1,0.0001016,4854.1813775,4,Fran
solution_clean_qiskit.py,98,train,1,0.0084899,4850.3789735,4,Fran
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013466,4804.3908369,3,Fran
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013204,4782.881889400001,5,Fran
solution_clean_qiskit.py,114,numerical_gradient_parallel,100,0.0013733,4773.3861109,4,Fran
solution_clean_pennylane.py,1,<module>,1,0.0004327,3479.0097713,1,Fran
solution_clean_pennylane.py,87,train,1,0.0023266,3462.9787756,1,Fran
solution_clean_pennylane.py,1,<module>,1,9.58e-05,3208.9276404,3,Fran
solution_clean_pennylane.py,87,train,1,0.0016655,3187.4821774,3,Fran
solution_clean_pennylane.py,1,<module>,1,8.04e-05,3183.2734049,2,Fran
solution_clean_pennylane.py,87,train,1,0.0017134,3171.8980261,2,Fran
solution_clean_pennylane.py,1,<module>,1,6.53e-05,3152.072246,5,Fran
solution_clean_pennylane.py,1,<module>,1,0.0001203,3145.5941332,4,Fran
solution_clean_pennylane.py,87,train,1,0.0018072,3141.5866697,5,Fran
solution_clean_pennylane.py,87,train,1,0.0017257,3135.2477175000004,4,Fran
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0454083,2794.8839248000004,1,Fran
solution_clean_pennylane.py,71,loss_func,200,0.0128456,2734.0293614,1,Fran
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0411908,2586.8216694,3,Fran
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0422746,2573.2441619,2,Fran
solution_clean_pennylane.py,71,loss_func,200,0.0118615,2569.8132635,3,Fran
solution_clean_pennylane.py,71,loss_func,200,0.012042,2556.606929,2,Fran
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0402466,2549.9477622,5,Fran
solution_clean_pennylane.py,58,get_unitary_matrix,404,0.0400107,2546.5176739000003,4,Fran
solution_clean_pennylane.py,71,loss_func,200,0.0119678,2533.1031416,5,Fran
solution_clean_pennylane.py,71,loss_func,200,0.011268,2529.9742004,4,Fran
solution_clean_pennylane.py,95,<lambda>,100,0.0004723,1814.5388386,1,Fran
solution_clean_pennylane.py,95,<lambda>,100,0.000299,1747.3015843,3,Fran
solution_clean_pennylane.py,95,<lambda>,100,0.0003716,1735.5790615,2,Fran
solution_clean_pennylane.py,95,<lambda>,100,0.0004477,1724.1136942,5,Fran
solution_clean_pennylane.py,95,<lambda>,100,0.0002729,1719.9812075000002,4,Fran
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.6863899,408.3645167,1,Fran
solution_clean_qiskit.py,81,loss_func,200,0.0530004,407.0986751,1,Fran
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1087647,228.2948962,1,Fran
solution_clean_pennylane.py,49,ansatz,12928,4.7982752,227.2035293,1,Fran
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0934503,210.4690007,3,Fran
solution_clean_pennylane.py,49,ansatz,12928,4.4073264000000005,209.4860227,3,Fran
solution_clean_pennylane.py,36,_basis_circuit,12928,0.1019236,209.18078960000005,2,Fran
solution_clean_pennylane.py,49,ansatz,12928,4.3664044,208.1683327,2,Fran
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0970465,207.8515138,5,Fran
solution_clean_pennylane.py,49,ansatz,12928,4.3211744,206.8858499,5,Fran
solution_clean_pennylane.py,36,_basis_circuit,12928,0.0891277,206.5393404,4,Fran
solution_clean_pennylane.py,49,ansatz,12928,4.3008927,205.57096650000005,4,Fran
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.3818971,200.5754219,2,Fran
solution_clean_qiskit.py,110,loss_only,100,0.0004088,200.2837519,1,Fran
solution_clean_qiskit.py,81,loss_func,200,0.0283154,199.0500927,2,Fran
solution_clean_qiskit.py,47,ansatz,12928,7.642350800000001,163.940797,1,Fran
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.301186,152.689916,4,Fran
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2962361,152.4876432,5,Fran
solution_clean_qiskit.py,57,get_unitary_matrix,404,0.2891295,151.73767270000002,3,Fran
